5 19690820025611999999024956468426000071110  8999000  0  79000 120 0 6943 0000  ARCH-ZN  
5 19690820030203333330324961365242000071110  9999000  0  79000 120 0 6943 0000  ARCH-ZN  
5 19690903113310799991326105303391000071110  5999000  0  79000 110 0 6943 0000  ARCH-ZN  
5 19690904100715749996226401679938000071110  8999000  0  79400 120 0 6943 0000  GSFC-ZN  
5 19691217015212799997724912379363000071110  5999000  0  79430   0 0 6943 0000  GSFC-ZN  
5 19700316045646072905926401015362000071110 27 27000  0  78210 130 0 6943 0000  ARCH-ZN  
5 19700415025414664860926460877446000071110  9 28000  0  78550 140 0 6943 0000  GSFC-ZN  
5 19700415061249998190826616822190000071110  6 28000  0  78550 100 0 6943 0000  ARCH-ZN  
5 19700416032736798185726436963559000071110  5 28000  0  78210 120 0 6943 0000  ARCH-ZN  
5 19700512011153229536426400097020000071110 13 28000  0  78890 170 0 6943 0000  ARCH-ZN  
5 19700528110503199521024398364462000071110  5 28000  0  79230 110 0 6943 0000  ARCH-ZN  
5 19700623111613176764723941711226000071110 17 27000  0  79230 110 0 6943 0000  ARCH-ZN  
5 19700720055007200910623639697361000071110  5 28000  0  79500 16045 6943 0000  ARCH-ZN  
5 19700808020352571721126317794221000071110  7 28000  0  78950 20030 6943 0000  ARCH-ZN  
5 19700815034217600167823785991238000071110  5 28000  0  78990 17034 6943 0000  ARCH-ZN  
5 19700818045700000100423541554966000071110  6 28000  0  79430 16054 6943 0000  ARCH-ZN  
5 19700819085106666741423618072358000071110 12 28000  0  79260 16050 6943 0000  ARCH-ZN  
5 19700819120232000074823759964377000071110  9 28000  0  79230 15050 6943 0000  GSFC-ZN  
5 19700822115349142885224679428617000071110  7999000  0  79230 15064 6943 0000  ARCH-ZN  
5 19700913020503199920723739258368000071110  5999000  0  79520 20035 6943 0000  ARCH-ZN  
5 19700919142105600009024791040333000071110  5999000  0  79060 13099 6943 0000  ARCH-ZN  
5 19701006010254857315925366763104000071110  7 28000  0  78710 11040 6943 0000  GSFC-ZN  
5 19701007012516800165825059885204000071110  5 28000  0  78880 15034 6943 0000  ARCH-ZN  
5 19701007233218300213524773590331000071110 10 28000  0  78950 17014 6943 0000  GSFC-ZN  
5 19701008012843200205824739307904000071110  5 28000  0  79020 13018 6943 0000  GSFC-ZN  
5 19701009032737800211124439688161000071110  5999000  0  78990 -1050 6943 0000  ARCH-ZN  
5 19701010001531600194424223782979000071110 15 27000  0  78880  8025 6943 0000  ARCH-ZN  
5 19701010034537125204924135946471000071110  8 28000  0  78920  3047 6943 0000  ARCH-ZN  
5 19701010054236000191424199859770000071110  6 28000  0  78950  4047 6943 0000  ARCH-ZN  
5 19701011002817182034524018842845000071110 11 28000  0  78920 11034 6943 0000  GSFC-ZN  
5 19701011032331500133323889843224000071110 12 28000  0  78580 10040 6943 0000  ARCH-ZN  
5 19701012041105437684023721080665000071110 16 27000  0  78640  2046 6943 0000  GSFC-ZN  
5 19701012072812000167323809884859000071110  6 28000  0  79060  1050 6943 0000  GSFC-ZN  
5 19701013020129100180123773202444000071110 10 28000  0  79020 11026 6943 0000  GSFC-ZN  
5 19701013051928500176223653787632000071110 20 27000  0  79020 11030 6943 0000  ARCH-ZN  
5 19701014030441454784423796507960000071110 11 28000  0  79060 16015 6943 0000  GSFC-ZN  
5 19701014071250666640123726442197000071110  9 28000  0  79430 15015 6943 0000  GSFC-ZN  
5 19701104232427857040824691974563000071110  7 28000  0  79760  1037 6943 0000  GSFC-ZN  
5 19701105005553749908824696232388000071110 12 28000  0  79120 -5050 6943 0000  ARCH-ZN  
5 19701106014029999916224490347628000071110 21 27000  0  79020  1035 6943 0000  GSFC-ZN  
5 19701110003219714249624128331919000071110  7 28000  0  79020  4042 6943 0000  GSFC-ZN  
5 19701110030929999965124006626156000071110 11 28000  0  79080  2050 6943 0000  ARCH-ZN  
5 19701111003538000454824211607960000071110  6 28000  0  78880  7040 6943 0000  GSFC-ZN  
5 19701111035518000447324045764979000071110  8 28000  0  78950  5053 6943 0000  GSFC-ZN  
5 19701111071642857613324121098805000071110 14 28000  0  78950  40 2 6943 0000  GSFC-ZN  
5 19701112050055667127024168761704000071110  9 28000  0  79120 10020 6943 0000  ARCH-ZN  
5 19701113031258800436124462591128000071110  5999000  0      0 10010 6943 0000  ARCH-ZN  
5 19701116054534000496525426050015000071110  6 28000  0  79190  1034 6943 0000  ARCH-ZN  
5 19701116090338700510525343424248000071110 10 28000  0  79190 -1036 6943 0000  GSFC-ZN  
5 19701116123822500533725494621785000071110 10 28000  0  78880 -30 2 6943 0000  GSFC-ZN  
5 19701117074906923621225718689790000071110 13 28000  0  78950  30 0 6943 0000  GSFC-ZN  
5 19701117100837500514925684393338000071110  6 28000  0  78990  10 0 6943 0000  ARCH-ZN  
5 19701117125916400548425793202572000071110 15 26000  0  78990  30 0 6943 0000  ARCH-ZN  
5 19701118083823000524626027436138000071110 24 27000  0  79060  70 4 6943 0000  GSFC-ZN  
5 19701118113300750540425992860439000071110 12 28000  0  78990  80 3 6943 0000  ARCH-ZN  
5 19701118135610000503326097318369000071110  6 28000  0  78710  80 3 6943 0000  ARCH-ZN  
5 19701204222608572133624317963115000071110  7 28000  0  79500 16035 6943 0000  ARCH-ZN  
5 19701205004927000774524280189245000071110 16 25000  0  79390 10035 6943 0000  ARCH-ZN  
5 19701205224544500731124317130345000071110  6 28000  0  79670  8048 6943 0000  GSFC-ZN  
5 19701206230647400752224352762682000071110 10 26000  0  79940 13025 6943 0000  ARCH-ZN  
5 19701207232817500720324427435813000071110 18 27000  0  79560 15020 6943 0000  ARCH-ZN  
5 19701210013042857889024629257619000071110  7 28000  0  79390 10020 6943 0000  GSFC-ZN  
5 19701211053720728007824754893395000071110 11 28000  0  79390  6080 6943 0000  GSFC-ZN  
5 19701212062258846924924983138848000071110 13 26000  0  79560  6032 6943 0000  GSFC-ZN  
5 19701214043636667366725605779065000071110  9 28000  0  79230 -3085 6943 0000  ARCH-ZN  
5 19701217105505040765526269752663000071110 25 27000  0  79120 11026 6943 0000  GSFC-ZN  
5 19701217131021375765626359418749000071110  8 28000  0  79120 11026 6943 0000  ARCH-ZN  
