timestamp,range,azimuth,elevation
5218.20149999,0.007452942605,,
5219.101500073,0.007434125536,,
5219.601500037,0.007423755646,,
5239.801499988,0.007058162981,,
5339.201499983,0.007089767132,,
5344.401500018,0.007176457893,,
5344.701500045,0.007181683434,,
5344.901499979,0.00718518025,,
5348.601500007999,0.007251790846,,
5349.101499968,0.007261067674,,
5352.901499963,0.007333671294,,
5354.001499975,0.007355370832,,
5354.601500026001,0.007367334399,,
5354.80149996,0.007371341924,,
5355.101499986,0.00737737216,,
5363.601500053,0.007557254483,,
5378.101500009999,0.007901735131,,
5384.001500059,0.008054317833,,
5384.401500052,0.0080649052,,
5386.201499957,0.008112920596,,
5392.701500056001,0.008291225231,,
5398.60149998,0.008459424576,,
5399.501500056,0.008485589645,,
5400.601500067002,0.00851774681,,
5400.801500001,0.008523614486,,
5400.901499968,0.008526550543,,
5401.801500044,0.008553047447,,
5402.001499977999,0.008558952951,,
5402.901500054999,0.008585605785,,
5406.601499955,0.008696491059,,
5407.301499973999,0.008717702477,,
5407.401500066,0.008720738751,,
5407.601499999,0.008726815318,,
5407.701499965999,0.008729856029,,
5407.901500024999,0.008735941707,,
5408.001499992001,0.008738986948,,
5408.301500017999,0.008748130716,,
5408.501499952,0.0087542342,,
5408.801499977,0.008763400224,,
5409.001500036,0.008769518337,,
5409.101500003,0.00877257942,,
5409.301500062001,0.008778706203,,
5409.601499963,0.008787907355,,
5410.001499955,0.008800195726,,
5410.301499980999,0.008809427262,,
5412.501500001999,0.008877518061,,
5412.801500028,0.008886856416,,
5412.901499995,0.008889972019,,
5413.501500047,0.008908694448,,
5413.701499981001,0.008914946496,,
5413.801500072,0.008918074722,,
5414.101499973,0.008927467265,,
5414.301500031999,0.008933735888,,
5414.601500058,0.008943149311,,
5414.701500025,0.008946289891,,
5415.201499985,0.00896201316,,
5415.301499952,0.00896516183,,
5415.50150001,0.008971463379,,
5415.701500069001,0.008977770487,,
5416.301499995999,0.008996724173,,
5416.601500022001,0.009006219274,,
5416.901500047999,0.00901572661,,
5417.101499982,0.009022071169,,
5417.201500074,0.009025245809,,
5417.401500008,0.009031598694,,
5417.801499999999,0.009044320341,,
5418.101500026001,0.009053875514,,
5420.301500048001,0.009124309239,,
5425.90150007,0.009306384347,,
5427.301499982,0.009352508935,,
5427.401500074,0.009355812495,,
5427.601500007999,0.009362423368,,
5428.0015,0.009375659252,,
5428.101499967,0.009378971209,,
5428.50149996,0.009392230836,,
5429.001500045,0.009408832234,,
5430.201500023,0.009448795008,,
5430.301499989,0.009452132943,,
5430.501500048,0.009458811979,,
5430.901500041,0.009472184214,,
5431.001500008,0.009475529996,,
5431.301500033,0.009485574885,,
5431.4015,0.009488925173,,
5431.601500058998,0.009495629792,,
5431.901499959,0.009505695021,,
5432.001500051,0.009509052385,,
5432.201499984999,0.00951577047,,
5432.301499952,0.009519131255,,
5432.401500042999,0.009522493224,,
5433.101500061,0.009546058376,,
5433.601500020001,0.009562924309,,
5433.701499987,0.009566300781,,
5433.901500046001,0.009573057269,,
5434.001500012999,0.009576437137,,
5434.10149998,0.009579818241,,
5434.301500038,0.009586583505,,
5434.401500005,0.009589967856,,
5434.501499972,0.00959335342,,
5434.601500063999,0.00959674003,,
5434.701500031,0.009600127837,,
5434.901499965,0.009606906251,,
5435.001500056,0.009610297132,,
5435.301499957,0.009620477025,,
5435.401500049,0.009623872488,,
5436.301500001,0.009654480086,,
5436.601500026999,0.009664702189,,
5436.701499994,0.009668111806,,
5437.101499986,0.009681760899,,
5437.201499952999,0.009685176117,,
5437.401500012,0.00969200915,,
5437.601500071,0.009698846533,,
5438.201499997,0.009719384452,,
5438.501500023,0.009729667976,,
5438.601499989,0.009733097837,,
5438.801500047999,0.009739960857,,
5438.901500015,0.00974339391,,
5439.101500074,0.009750263303,,
5439.201500040999,0.009753699746,,
5439.301500008001,0.009757137034,,
5439.501500065999,0.009764014741,,
5439.601500033,0.009767455151,,
5439.801499967,0.009774339475,,
5439.901500059,0.009777783009,,
5440.101499993,0.009784673078,,
5440.301500051,0.009791567732,,
5440.401500018001,0.009795016353,,
5440.801500010001,0.00980882223,,
5441.30149997,0.009826102597,,
5441.401500061999,0.009829561568,,
5441.801500055,0.00984340871,,
5442.101499955,0.009853804514,,
5442.501500073,0.009867680051,,
5442.60150004,0.009871151491,,
5443.001500032001,0.0098850473,,
5443.301500058,0.009895479823,,
5443.701500049999,0.009909403878,,
5444.101500043,0.009923343962,,
5444.601500002001,0.009940791534,,
5444.901500027999,0.009951271883,,
5445.001499994001,0.009954767498,,
5445.401499987,0.009968759188,,
5446.001500038,0.009989776412,,
5459.701499995,0.010478803987,,
